VA3MW,va3mw.dxcluster.org:41112
K1EU,k1eu.dynip.com:23
EI3IO-4,SHANDX.ATH.CX:5000
EI7MRE,MAYODX.ATH.CX:7300
GB7BAA,GB7BAA.COM:7300
GB7DJK,GB7DJK.DXCLUSTER.NET:7300
GB7MBC,GB7MBC.SPOO.ORG:8000
HA6DX,DX.HU:9000
IK8HJC-6,IK8HJC.DYNDNS.ORG:8000
IT9OBK-6,IT9OBK.ORG:41112
JA2YYF,JA2YYF.D2G.COM:23
JA2YYF-9,JA2YYF.D2G.COM:7300
K1EU,K1EU.DYNIP.COM:23
K2LS,DXC.K2LS.COM:23
K7AR,K7AR.NET:7300
KE9KD,CLUSTER.DX-CENTRAL.COM:23
KN4F,DXC.KN4F.NET:23
N2KI,DXC.N2KI.COM:7300
N7OD,N7OD.PENTUX.NET:23
OK0DXI,RADIO.NAGANO.CZ:41112
ON0DXK-5,193.191.136.222:8000
PA1RBZ,PA1RBZ.DYNDNS.ORG:9000
RW3XA-7,DX.OBNINSK.ORG:41112
S50DXS,S50DXS.ODS.ORG:8000
SM4ONW-7,CLUSTER.SK4BW.NET:8000
VE3EY-7,DX.FIREROUTE.COM:23
VE6TN,DX.MIDDLEBROOK.CA:23
VE7CC,VE7CC.NET:23
W1AAA,DXUSA.NET:7300
W1NR,DXC.W1NR.NET:23
W6KK,W6KK.ZAPTO.ORG:7300
WF5E,WF5E.NO-IP.COM:23
RBN,telnet.reversebeacon.net:7000
NC7J,dxc.nc7j.com:23
